Address,RAM cut addr.,Start offset,RAM cut (VPU2), RAM cut (VPU3), Stagger bits,start_bits(0),start_bits(1),start_bits(2),start_bits(3),start_bits(4),start_bits(5)
0,0,0,0,0,0,0,0,0,0,0,0
16,1,0,1,1,0,16,16,16,16,16,16
32,2,0,2,2,0,32,32,32,32,32,32
48,3,0,3,3,0,48,48,48,48,48,48
64,4,0,4,4,0,64,64,64,64,64,64
80,5,0,5,5,0,80,80,80,80,80,80
96,6,0,6,6,0,96,96,96,96,96,96
112,7,0,7,7,0,112,112,112,112,112,112
128,8,0,8,8,0,128,128,128,128,128,128
144,9,0,9,9,0,144,144,144,144,144,144
160,10,0,10,10,0,160,160,160,160,160,160
176,11,0,11,11,0,176,176,176,176,176,176
192,12,0,12,12,0,192,192,192,192,192,192
208,13,0,13,13,0,208,208,208,208,208,208
224,14,0,14,14,0,224,224,224,224,224,224
240,15,0,15,15,0,240,240,240,240,240,240
256,16,0,16,16,0,256,256,256,256,256,256
272,17,0,17,17,0,272,272,272,272,272,272
288,18,0,18,18,0,288,288,288,288,288,288
304,19,0,19,19,0,304,304,304,304,304,304
320,20,0,20,20,0,320,320,320,320,320,320
336,21,0,21,21,0,336,336,336,336,336,336
352,22,0,22,22,0,352,352,352,352,352,352
368,23,0,23,23,0,368,368,368,368,368,368
384,24,0,24,24,0,384,384,384,384,384,384
400,25,0,25,25,0,400,400,400,400,400,400
416,26,0,26,26,0,416,416,416,416,416,416
432,27,0,27,27,0,432,432,432,432,432,432
448,28,0,28,28,0,448,448,448,448,448,448
464,29,0,29,29,0,464,464,464,464,464,464
480,30,0,30,30,0,480,480,480,480,480,480
496,31,0,31,31,0,496,496,496,496,496,496
512,32,8,0,8,1,512,768,896,960,992,1008
528,33,8,1,9,1,528,784,912,976,1008,512
544,34,8,2,10,1,544,800,928,992,512,528
560,35,8,3,11,1,560,816,944,1008,528,544
576,36,8,4,12,1,576,832,960,512,544,560
592,37,8,5,13,1,592,848,976,528,560,576
608,38,8,6,14,1,608,864,992,544,576,592
624,39,8,7,15,1,624,880,1008,560,592,608
640,40,8,8,16,1,640,896,512,576,608,624
656,41,8,9,17,1,656,912,528,592,624,640
672,42,8,10,18,1,672,928,544,608,640,656
688,43,8,11,19,1,688,944,560,624,656,672
704,44,8,12,20,1,704,960,576,640,672,688
720,45,8,13,21,1,720,976,592,656,688,704
736,46,8,14,22,1,736,992,608,672,704,720
752,47,8,15,23,1,752,1008,624,688,720,736
768,48,8,16,24,1,768,512,640,704,736,752
784,49,8,17,25,1,784,528,656,720,752,768
800,50,8,18,26,1,800,544,672,736,768,784
816,51,8,19,27,1,816,560,688,752,784,800
832,52,8,20,28,1,832,576,704,768,800,816
848,53,8,21,29,1,848,592,720,784,816,832
864,54,8,22,30,1,864,608,736,800,832,848
880,55,8,23,31,1,880,624,752,816,848,864
896,56,8,24,0,1,896,640,768,832,864,880
912,57,8,25,1,1,912,656,784,848,880,896
928,58,8,26,2,1,928,672,800,864,896,912
944,59,8,27,3,1,944,688,816,880,912,928
960,60,8,28,4,1,960,704,832,896,928,944
976,61,8,29,5,1,976,720,848,912,944,960
992,62,8,30,6,1,992,736,864,928,960,976
1008,63,8,31,7,1,1008,752,880,944,976,992
1024,64,16,0,16,2,1024,1024,1280,1408,1472,1504
1040,65,16,1,17,2,1040,1040,1296,1424,1488,1520
1056,66,16,2,18,2,1056,1056,1312,1440,1504,1024
1072,67,16,3,19,2,1072,1072,1328,1456,1520,1040
1088,68,16,4,20,2,1088,1088,1344,1472,1024,1056
1104,69,16,5,21,2,1104,1104,1360,1488,1040,1072
1120,70,16,6,22,2,1120,1120,1376,1504,1056,1088
1136,71,16,7,23,2,1136,1136,1392,1520,1072,1104
1152,72,16,8,24,2,1152,1152,1408,1024,1088,1120
1168,73,16,9,25,2,1168,1168,1424,1040,1104,1136
1184,74,16,10,26,2,1184,1184,1440,1056,1120,1152
1200,75,16,11,27,2,1200,1200,1456,1072,1136,1168
1216,76,16,12,28,2,1216,1216,1472,1088,1152,1184
1232,77,16,13,29,2,1232,1232,1488,1104,1168,1200
1248,78,16,14,30,2,1248,1248,1504,1120,1184,1216
1264,79,16,15,31,2,1264,1264,1520,1136,1200,1232
1280,80,16,16,0,2,1280,1280,1024,1152,1216,1248
1296,81,16,17,1,2,1296,1296,1040,1168,1232,1264
1312,82,16,18,2,2,1312,1312,1056,1184,1248,1280
1328,83,16,19,3,2,1328,1328,1072,1200,1264,1296
1344,84,16,20,4,2,1344,1344,1088,1216,1280,1312
1360,85,16,21,5,2,1360,1360,1104,1232,1296,1328
1376,86,16,22,6,2,1376,1376,1120,1248,1312,1344
1392,87,16,23,7,2,1392,1392,1136,1264,1328,1360
1408,88,16,24,8,2,1408,1408,1152,1280,1344,1376
1424,89,16,25,9,2,1424,1424,1168,1296,1360,1392
1440,90,16,26,10,2,1440,1440,1184,1312,1376,1408
1456,91,16,27,11,2,1456,1456,1200,1328,1392,1424
1472,92,16,28,12,2,1472,1472,1216,1344,1408,1440
1488,93,16,29,13,2,1488,1488,1232,1360,1424,1456
1504,94,16,30,14,2,1504,1504,1248,1376,1440,1472
1520,95,16,31,15,2,1520,1520,1264,1392,1456,1488
1536,96,24,0,24,3,1536,1792,1664,1856,1952,2000
1552,97,24,1,25,3,1552,1808,1680,1872,1968,2016
1568,98,24,2,26,3,1568,1824,1696,1888,1984,2032
1584,99,24,3,27,3,1584,1840,1712,1904,2000,1536
1600,100,24,4,28,3,1600,1856,1728,1920,2016,1552
